status,message,id,terrestrial_date,ls,season,min_temp,max_temp,pressure,pressure_string,abs_humidity,wind_speed,atmo_opacity,sunrise,sunset,local_uv_irradiance_index,min_gts_temp,max_gts_temp,wind_direction,sol,unitOfMeasure,TZ_Data
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,1.00,2012-08-07T00:00:00.000Z,150.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:30,17:22,NaN,NaN,NaN,NaN,1.00,Celsius,America/Port_of_Spain
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,232.00,2012-08-15T00:00:00.000Z,155.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:28,17:22,NaN,NaN,NaN,NaN,9.00,Celsius,America/Port_of_Spain
200,NaN,2.00,2012-08-16T00:00:00.000Z,155.00,Month 6,-75.00,-16.00,739.00,Lower,NaN,NaN,Sunny,05:28,17:22,Very_High,-83.00,8.00,NaN,10.00,Celsius,America/Port_of_Spain
200,NaN,13.00,2012-08-17T00:00:00.000Z,156.00,Month 6,-76.00,-11.00,740.00,Lower,NaN,NaN,Sunny,05:28,17:21,Very_High,-83.00,9.00,NaN,11.00,Celsius,America/Port_of_Spain
200,NaN,24.00,2012-08-18T00:00:00.000Z,156.00,Month 6,-76.00,-18.00,741.00,Lower,NaN,NaN,Sunny,05:28,17:21,Very_High,-82.00,8.00,NaN,12.00,Celsius,America/Port_of_Spain
200,NaN,35.00,2012-08-19T00:00:00.000Z,157.00,Month 6,-74.00,-15.00,732.00,Lower,NaN,NaN,Sunny,05:28,17:21,Very_High,-80.00,8.00,NaN,13.00,Celsius,America/Port_of_Spain
200,NaN,46.00,2012-08-20T00:00:00.000Z,157.00,Month 6,-74.00,-16.00,740.00,Lower,NaN,NaN,Sunny,05:27,17:21,Very_High,-82.00,9.00,NaN,14.00,Celsius,America/Port_of_Spain
200,NaN,57.00,2012-08-21T00:00:00.000Z,158.00,Month 6,-78.00,-15.00,740.00,Lower,NaN,NaN,Sunny,05:27,17:21,Very_High,-82.00,8.00,NaN,15.00,Celsius,America/Port_of_Spain
200,NaN,68.00,2012-08-22T00:00:00.000Z,158.00,Month 6,-77.00,0.00,740.00,Lower,NaN,NaN,Sunny,05:27,17:21,Very_High,-81.00,9.00,NaN,16.00,Celsius,America/Port_of_Spain
200,NaN,79.00,2012-08-23T00:00:00.000Z,159.00,Month 6,-76.00,-4.00,742.00,Lower,NaN,NaN,Sunny,05:27,17:21,Very_High,-81.00,7.00,NaN,17.00,Celsius,America/Port_of_Spain
200,NaN,90.00,2012-08-24T00:00:00.000Z,160.00,Month 6,NaN,NaN,NaN,Higher,NaN,NaN,Sunny,05:26,17:21,NaN,NaN,NaN,NaN,18.00,Celsius,America/Port_of_Spain
200,NaN,101.00,2012-08-25T00:00:00.000Z,160.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:26,17:21,NaN,NaN,NaN,NaN,19.00,Celsius,America/Port_of_Spain
200,NaN,110.00,2012-08-26T00:00:00.000Z,161.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:26,17:21,NaN,NaN,NaN,NaN,20.00,Celsius,America/Port_of_Spain
200,NaN,112.00,2012-08-27T00:00:00.000Z,161.00,Month 6,-74.00,-3.00,741.00,Lower,NaN,NaN,Sunny,05:26,17:21,Very_High,-81.00,7.00,NaN,21.00,Celsius,America/Port_of_Spain
200,NaN,114.00,2012-08-28T00:00:00.000Z,162.00,Month 6,-74.00,-6.00,742.00,Lower,NaN,NaN,Sunny,05:26,17:21,Very_High,-81.00,8.00,NaN,22.00,Celsius,America/Port_of_Spain
200,NaN,123.00,2012-08-29T00:00:00.000Z,162.00,Month 6,-75.00,-16.00,741.00,Lower,NaN,NaN,Sunny,05:25,17:21,Very_High,-82.00,9.00,NaN,23.00,Celsius,America/Port_of_Spain
200,NaN,134.00,2012-08-30T00:00:00.000Z,163.00,Month 6,-75.00,-7.00,742.00,Lower,NaN,NaN,Sunny,05:25,17:21,Very_High,-83.00,6.00,NaN,24.00,Celsius,America/Port_of_Spain
